account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone,AREATYPE,geometry
Voice of Hope Ministries - Gooch Elementary,0013r00002dlRGJ,TRUE,71,"",TRUE,"","",4030 CALCULUS DR,DALLAS,75244,"",214-631-7027,In High Supply,2476260.69175461|7020554.65804057
Richardson ISD - Spring Creek Elementary,0013100001lpWu1,TRUE,70,School,TRUE,Sliding Scale,School Run,7667 Roundrock Road,Dallas,75248,http://www.edline.net/pages/RISD_Departments_and_Programs/PACE/Spring_Creek_Elementary,469 593-4546,In High Supply,2496997.86026642|7035295.35656489
Interfaith Housing Coalition at Main Campus,001i000000Uf17v,TRUE,65,Community Center/Nonprofit,TRUE,No Charge,Local Nonprofit,5600 Ross Avenue,Dallas,75204,www.ihcdallas.org,(214) 827-7220,In High Supply,2500221.44894721|6982318.41936444
Richardson ISD Xplore! - Wallace Elementary,001i000001YBHF6,TRUE,65,School,TRUE,Sliding Scale,School Run,9921 KIRKHAVEN DR,DALLAS,75238,http://www.edline.net/pages/RISD_Departments_and_Programs/PACE/Wallace_Elementary,(469) 593-7539,In High Supply,2518511.73939564|7009228.16238031
Marcus Recreation Center,0013100001bdR4l,TRUE,60,Municipal Building,TRUE,Fee,P&R,3003 Northaven,Dallas,75229,www.dallasparks.org,(214)670-6599,In High Supply,2466410.67509467|7015672.73712243
Campbell-Green Recreation Center,0013100001bdR7u,TRUE,60,Municipal Building,TRUE,Fee,P&R,16600 Parkhill Dr.,Dallas,75248,www.dallasparks.org,214-670-6314,In High Supply,2493262.21263715|7042693.04743909
YMCA Town North at Arthur Kramer Elementary,001i000001YBHHm,TRUE,60,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,7131 MIDBURY DR,DALLAS,75230,"",(972) 794-8300,In High Supply,2495346.52439422|7015478.07227805
Torah Day School of Dallas,0013r00002Re5ZF,TRUE,55,Faith Community,TRUE,Fee,For Profit,6324 CHURCHILL WAY,DALLAS,75230,"",972-964-0090,In High Supply,2491157.34447202|7020456.56878749
YMCA at Mockingbird Elementary,0013100001ciPrH,TRUE,50,School,TRUE,Fee,National Nonprofit,5828 E. Mockingbird Ln.,Dallas,75038,www.ymcadallas.org/afterschool,(469) 348-9622,In High Supply,2500956.9079221|6991336.67998935
Dallas Symphony at Daniel Webster Elementary School,0010Z00002CZiJW,TRUE,50,School,TRUE,No Charge,Local Nonprofit,3815 S Franklin St,Dallas,75233,"","",In High Supply,2472496.52019615|6940368.31764689
YMCA at Sudie L. Williams Academy,0010Z00002CZiJY,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,4518 Pomona Rd.,Dallas,75209,"",214-415-8527,In High Supply,2480906.10333269|6998049.60755798
St. Simon's After-School Program at Herbert Marcus Elementary School,0013100001beuKA,TRUE,50,School,TRUE,No Charge,Local Nonprofit,2911 Northhaven Rd.,Dallas,75229,www.stsimonsafterschool.com,(972) 794-2900,In High Supply,2465842.57074469|7015889.55555947
St. Simon's After-School Program at Stephen C. Foster Elementary School,0013100001beuFt,TRUE,50,School,TRUE,No Charge,Local Nonprofit,3700 Clover Lane,Dallas,75220,www.stsimonsafterschool.com,(972) 794-8100,In High Supply,2473673.80001212|7003399.84242535
YMCA at Arthur Kramer ES,001i000000Na3Nj,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,7131 Midbury Dr.,Dallas,75230,"",214-907-2759,In High Supply,2495346.52439422|7015478.07227805
Big Thought at Daniel Webster Elementary,0010Z00001ubqaI,TRUE,50,School,TRUE,Sliding Scale,Local Nonprofit,3815 S Franklin St,Dallas,75233,"",(214) 315-0954,In High Supply,2472496.52019615|6940368.31764689
Lakewood Montessori School,0013r00002Wck3u,TRUE,50,School,TRUE,Fee,School Run,6464 E LOVERS LN,DALLAS,75214,"",214-821-9466,In High Supply,2506168.74568679|6997291.39747903
YMCA at Withers Elementary,0013100001mBLkj,TRUE,50,School,TRUE,Fee,National Nonprofit,3959 Northhaven Rd.,Dallas,75229,https://www.ymcadallas.org/locations/,(972) 794-5000,In High Supply,2476120.78436514|7015543.64482414
YMCA at Solar Prep for Girls,0013100001mBLFD,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,2617 N. Henderson Ave.,Dallas,75206,https://www.ymcadallas.org/locations/,214-415-8527,In High Supply,2496351.3811747|6984259.71740904
"Frazier Revitalization, Inc. at Frazier Townhomes",0013100001cEuDv,TRUE,50,Community Center/Nonprofit,TRUE,Sliding Scale,Local Nonprofit,5646 Milton St. Suite 407,Dallas,75206,"",469.221.0704,In High Supply,2499491.99805278|6995851.6290118
Lake Highlands North Recreation Center,0013100001bdbaM,TRUE,40,Child Care Center,TRUE,Fee,For Profit,9940 White Rock Trl.,Dallas,75238,www.dallasparks.org,(214)670-7794,In High Supply,2511664.73095668|7009522.88945211
Not Home Alone Program at Agape Memorial United Methodist Church,0013100001mPpRb,TRUE,30,Faith Community,TRUE,Fee,For Profit,5111 Capitol Ave.,Dallas,75206,www.agapememorialumc.org,469-235-8769,In High Supply,2496807.4119104|6983260.03327935
Churchill Recreation Center,0013100001bda3Y,TRUE,30,Municipal Building,TRUE,Fee,P&R,6906 Churchill Way,Dallas,75230,www.dallasparks.org,(214)670-6477,In High Supply,2494515.97331687|7020666.57235569
Ivy Montessori Academy Valley Ranch,0013100001ciO3i,TRUE,330,School,TRUE,Sliding Scale,For Profit,2750 Ranch Trl.,Irving,75063,www.IvyMontessoriAcademy.com,(469) 314-8080,In High Supply,2434127.24779666|7022869.98966063
Wonderland Montessori Academy of Valley Ranch,001i000001YBHL2,TRUE,291,School,TRUE,Sliding Scale,School Run,2090 MARKET PLACE BLVD,IRVING,75063,"","",In High Supply,2436862.59482989|7021791.52012821
Redeemer Montessori,001i000001YBHKN,TRUE,185,School,TRUE,Sliding Scale,For Profit,2700 WARREN CIR,IRVING,75062,"",(972) 257-3517,In High Supply,2446540.91670181|6993422.89269661
KCE Champions LLC @ Uplift-Infinity,0010Z0000273xxn,TRUE,100,School,TRUE,Sliding Scale,For Profit,1401 S MACARTHUR BLVD,IRVING,75060,"",940-368-3794,In High Supply,2441714.73032162|6977215.60327023
YMCA at T.J. Lee ES,001i000000Na3O7,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,1600 Carlisle St.,Irving,75062,www.ymcadallas.org/afterschool,(214) 649-8703,In High Supply,2439426.02069527|6996726.37880614
Legacy Kids Academy,001i000001YBHFW,TRUE,221,Child Care Center,TRUE,Sliding Scale,For Profit,2201 EASTGLEN BLVD,MESQUITE,75181,"",(972) 222-8755,In High Supply,2562867.50338331|6965410.66594324
La Petite Academy TXMC 0904,001i000001YBHGP,TRUE,153,Child Care Center,TRUE,Sliding Scale,For Profit,910 CLAY MATHIS RD,MESQUITE,75181,"",(972) 222-0970,In High Supply,2564543.06554721|6963462.49084035
Frog Academy of New Community Church,0013r00002eADTz,TRUE,84,"",TRUE,"","",2600 EASTGLEN BLVD,MESQUITE,75181,"",972-373-4379,In High Supply,2567558.41452653|6964752.16304711
Mesquite Parks & Recreation at After-school Adventures at Goodbar Rec.Center,0013r00002DdbZv,TRUE,50,Municipal Building,TRUE,Sliding Scale,P&R,3000 Concord,Mesquite,75150,"","",In High Supply,2539054.81872868|6982638.89571617
Richardson ISD-PACE at Arapaho Classical Magnet,0013100001lqRpF,TRUE,160,School,TRUE,Fee,School Run,1300 Cypress,Richardson,75080,www.risd.org/pace,469-593-6404,In High Supply,2500989.4563428|7037147.27366323
Boys and Girls Club of Richardson,0013100001bejWY,TRUE,150,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,1210 W. Belt Line Rd.,Richardson,75080,www.bgca.org,(972) 699-0514,In High Supply,2502791.06383942|7033699.68618579
"KIDS Montessori Academy, LLC",0013r00002YNs2H,TRUE,121,School,TRUE,Fee,School Run,1521 E ARAPAHO RD,RICHARDSON,75081,"",972-235-6930,In High Supply,2521824.80962766|7037375.05050521
Small Miracles Academy-Richardson Campus,001i000001YBHEl,TRUE,118,Child Care Center,TRUE,Sliding Scale,For Profit,1015 NEWBERRY DR,RICHARDSON,75080,"",(972) 235-0267,In High Supply,2504771.18849423|7037096.8430486
Bluebonnet Learning Center at Collins Blvd.,001i000001YBHHn,TRUE,102,Child Care Center,TRUE,Sliding Scale,For Profit,1414 E COLLINS BLVD,RICHARDSON,75081,"",(972) 664-1666,In High Supply,2520883.65311666|7039650.51778136
Rising Stars Academy,001i000001YBHKU,TRUE,100,Child Care Center,TRUE,Sliding Scale,For Profit,1515 BLAKE DR,RICHARDSON,75081,"",(469) 301-6225,In High Supply,2521660.26912969|7038364.84735807
Flamingo Island Preschool LLC,001i000001YBHF5,TRUE,93,Child Care Center,TRUE,Sliding Scale,For Profit,1402 BLAKE DR,RICHARDSON,75081,"",(972) 238-7833,In High Supply,2520974.26063003|7037908.43262603
Richardson ISD - Richland Elementary,0013100001lpW5r,TRUE,60,School,TRUE,Fee,School Run,550 Park Bend Drive,Richardson,75081,http://www.edline.net/pages/RISD_Departments_and_Programs/PACE,(469) 593-4651,In High Supply,2513010.99268725|7026745.64189538
Richardson ISD- PACE at Yale Elementary,0013100001lpi8n,TRUE,50,School,TRUE,Sliding Scale,School Run,1900 E. Collins,Richardson,75081,www.risd.org/pace,469-593-8343,In High Supply,2523599.89381383|7039496.35646582
Richardson Family YMCA,0013100001mBPys,TRUE,50,Community Center/Nonprofit,TRUE,Fee,For Profit,821 Custer Road,Richardson,75080,https://www.ymcadallas.org/locations/richardson/,(972) 231-3424,In High Supply,2509401.12494842|7036459.98608786
Richardson ISD- Richardson Heights,001i000001YBHIU,TRUE,45,School,TRUE,Sliding Scale,School Run,101 N FLOYD RD,RICHARDSON,75080,http://www.edline.net/pages/RISD_Departments_and_Programs/PACE,(469) 593-7536,In High Supply,2506707.38784972|7033678.9979847
Cotton Mill Learning Center,001i000001YBHEc,TRUE,260,Child Care Center,TRUE,Sliding Scale,For Profit,5413 CHIESA RD,ROWLETT,75088,"",(972) 412-6864,In High Supply,2572446.759131|7019206.05751791
Tree House Academy of Rowlett LLC,001i000001YBHI1,TRUE,240,Child Care Center,TRUE,Sliding Scale,For Profit,7501 DALROCK RD,ROWLETT,75089,"",(214) 227-5884,In High Supply,2576522.24260098|7025779.27569463
Oaks Trail Academy,001i000001YBHKE,TRUE,102,Child Care Center,TRUE,Sliding Scale,For Profit,4115 DALROCK RD,ROWLETT,75088,"",(469) 298-0356,In High Supply,2576562.70413797|7015320.49877934
Lakeview Childrens Academy,001i000001YBHJp,TRUE,58,Child Care Center,TRUE,Sliding Scale,For Profit,7814 LAKEVIEW PKWY,ROWLETT,75088,"",(972) 475-8181,In High Supply,2574503.08131221|7020960.67629005
Little Ponderosa Day Care Center,001i000001YBHGN,TRUE,220,Child Care Center,TRUE,Sliding Scale,For Profit,3131 N BELT LINE RD,SUNNYVALE,75182,"",(972) 226-4849,In High Supply,2553336.64956868|6982518.33337671
"King Arthurs Castle of Little Tikes, Inc",001i000001YBHJh,TRUE,196,Child Care Center,TRUE,Sliding Scale,For Profit,2763 N BELT LINE RD,SUNNYVALE,75182,"",(972) 226-4435,In High Supply,2553161.09701812|6980301.76509777
Handprints Child Care 24 LLC,0013r00002dlRGH,TRUE,170,"",TRUE,"","",2763 N BELT LINE RD,SUNNYVALE,75182,"",972-226-4435,In High Supply,2553160.48262216|6980301.75396709
Dunkin Academy at Towneast,001i000001YBHJ8,TRUE,168,School,TRUE,Sliding Scale,For Profit,320 TOWNEAST BLVD N,SUNNYVALE,75182,"",(972) 226-6028,In High Supply,2552274.82208902|6984311.87965237
RISD xPlore at Brentfield Elementary,0013r00002DdbZB,TRUE,50,School,TRUE,Sliding Scale,School Run,"6767 Brentfield Dr, Dallas Tx",Rchardson,75248,"","",In High Supply,2492737.80474468|7041876.86260659
RISD xPlore at Lake Highlands Elementary,0013r00002DdbZL,TRUE,50,School,TRUE,Sliding Scale,School Run,"9501 Ferndale Rd, Dallas Tx",Rchardson,75238,"","",In High Supply,2518188.94487804|7006462.41735006
RISD xPlore at Merriman Park Elementary,0013r00002DdbZO,TRUE,50,School,TRUE,Sliding Scale,School Run,"7101 Winedale Dr, Dallas Tx",Rchardson,75231,"","",In High Supply,2508643.1409481|7007343.55211288
RISD xPlore at Northlake Elementary,0013r00002DdbZS,TRUE,50,School,TRUE,Sliding Scale,School Run,"10059 Ravensway Dr, Dallas Tx",Rchardson,75238,"","",In High Supply,2514848.03969526|7009689.10763459
RISD xPlore at Richardson Heights Elementary,0013r00002DdbZY,TRUE,50,School,TRUE,Sliding Scale,School Run,101 N FLOYD RD,Rchardson,75080,"","",In High Supply,2506837.1596398|7033733.19131353
RISD xPlore at Richland Elementary,0013r00002DdbZa,TRUE,50,School,TRUE,Sliding Scale,School Run,550 Park Bend Drive,Rchardson,75081,"","",In High Supply,2513010.9996834|7026745.6450935
RISD xPlore at Spring Creek Elementary,0013r00002DdbZc,TRUE,50,School,TRUE,Sliding Scale,School Run,7667 Roundrock Road,Rchardson,75248,"","",In High Supply,2497108.48991765|7035227.31324947
RISD xPlore at Wallace Elementary,0013r00002DdbZh,TRUE,50,School,TRUE,Sliding Scale,School Run,9921 KIRKHAVEN DR,Rchardson,75238,"","",In High Supply,2518574.70053513|7009209.2170509
RISD xPlore at Yale Elementary,0013r00002DdbZj,TRUE,50,School,TRUE,Sliding Scale,School Run,1900 E. Collins,Rchardson,75081,"","",In High Supply,2523582.49807164|7039616.13873715
RISD xPlore at Lake Highlands Jr. High,0013r00002DdbZl,TRUE,50,School,TRUE,Sliding Scale,School Run,10301 Walnut Hl Ln,Rchardson,75238,"","",In High Supply,2519054.7643663|7007472.46025437
RISD xPlore at Westwood Jr. High,0013r00002DdbZn,TRUE,50,School,TRUE,Sliding Scale,School Run,7630 Arapaho Rd,Rchardson,75248,"","",In High Supply,2496786.40053151|7036948.5426333
RISD xPlore at West Jr. High,0013r00002DdbZo,TRUE,50,School,TRUE,Sliding Scale,School Run,1309 Holly Dr,Rchardson,75080,"","",In High Supply,2501268.4064636|7035371.47017276
RISD xPlore at Park Hill Jr. High,0013r00002DdbZp,TRUE,50,School,TRUE,Sliding Scale,School Run,16500 Shadybank Dr,Rchardson,75248,"","",In High Supply,2492697.86901759|7041452.19190538
