account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone,GEOID,indexSupply,indexDemand,MainGrp
YMCA at Junkins Elementary,0013100001mAys3,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,2808 Running Duke Drive,Carrollton,75006,https://www.ymcadallas.org/locations/,(972) 502-2400,48113013721,84,67,Demand = Supply
Oak Crest Private School,001i000001RaPdd,TRUE,40,Child Care Center,TRUE,Sliding Scale,For Profit,"1200 E. Jackson Road, Building 2",Carrollton,75006,oakcrestschool.org,(214) 483-5400,48113013716,95,61,Demand < Supply
After The Bell Turner High School Summer Program,001i000001YBHHG,TRUE,25,"",TRUE,Sliding Scale,"",1600 S JOSEY LN,CARROLLTON,75006,"",(972) 968-6525,48113013729,81,81,Demand > Supply
Childcare Network  #198,001i000001YBHEY,TRUE,180,Child Care Center,TRUE,Sliding Scale,For Profit,195 N CLARK RD,CEDAR HILL,75104,"",(972) 299-9999,48113016626,95,62,Demand < Supply
Where Kidz Connect Academy,0013100001eEADs,TRUE,177,Child Care Center,TRUE,Sliding Scale,For Profit,513 STRAUS RD,CEDAR HILL,75104,www.wherekidzconnect.com,(972) 293-6767,48113016522,82,70,Demand = Supply
Oak Tree Academy,001i000001YBHGp,TRUE,136,School,TRUE,Sliding Scale,For Profit,110 KENYA ST,CEDAR HILL,75104,"",(972) 291-7893,48113016626,95,62,Demand < Supply
Children's Enrichment Program,001i000001YBHEM,TRUE,135,Child Care Center,TRUE,Sliding Scale,For Profit,127 N ROBERTS RD,CEDAR HILL,75104,"",(972) 291-1804,48113016522,82,70,Demand = Supply
Olives Lil' Angels Learning Center,001i000001YBHGr,TRUE,128,Child Care Center,TRUE,Sliding Scale,For Profit,1021 N JOE WILSON RD,CEDAR HILL,75104,"",(972) 291-1441,48113016629,90,62,Demand < Supply
Powerhouse Center in Cedar Hill,001i000001YBHH3,TRUE,120,Child Care Center,TRUE,Sliding Scale,For Profit,129 W WINTERGREEN RD,CEDAR HILL,75104,"",(214) 376-8208,48113016511,84,79,Demand = Supply
Childcare Network #172,001i000001YBHEW,TRUE,110,Child Care Center,TRUE,Sliding Scale,For Profit,240 E BELT LINE RD,CEDAR HILL,75104,"",(972) 299-6027,48113016626,95,62,Demand < Supply
Wise Academy Inc,001i000001YBHL0,TRUE,100,Child Care Center,TRUE,Sliding Scale,For Profit,125 W WINTERGREEN RD,CEDAR HILL,75104,"",(972) 293-0191,48113016511,84,79,Demand = Supply
"Discovery Village Learning Center, LLC",001i000001YBHJ4,TRUE,59,Child Care Center,TRUE,Sliding Scale,For Profit,855 N DUNCANVILLE RD,CEDAR HILL,75104,"",(972) 291-6649,48113016630,85,63,Demand < Supply
Metro Christian Academy,001i000001YBHK4,TRUE,56,Child Care Center,TRUE,Sliding Scale,For Profit,935 S CLARK RD,CEDAR HILL,75104,"",(972) 291-6222,48113016616,80,68,Demand = Supply
Right At School at Waterford Oaks Elementary,0013r00002DdbYz,TRUE,50,School,TRUE,Fee,For Profit,401 N. Waterford Oaks Dr. Cedar Hill,Cedar Hill,75104,"","",48113016630,85,63,Demand < Supply
Right At School at High Pointe Elementary,0013r00002DdbZ0,TRUE,50,School,TRUE,Fee,For Profit,1351 High Pointe Lane Cedar Hill,Cedar Hill,75104,"","",48113016529,82,64,Demand < Supply
Right At School at Highlands Elementary,0013r00002DdbZ1,TRUE,50,School,TRUE,Fee,For Profit,131 Sims Drive Cedar Hill,Cedar Hill,75104,"","",48113016524,80,73,Demand = Supply
Right At School at Bray Elementary School,0013r00002DdbZ2,TRUE,50,School,TRUE,Fee,For Profit,218 N. Broad St. Cedar Hill,Cedar Hill,75104,"","",48113016524,80,73,Demand = Supply
Right At School at Collegiate Prep Elementary,0013r00002DdbZ3,TRUE,50,School,TRUE,Fee,For Profit,975 Pickard Drive Cedar Hill,Cedar Hill,75104,"","",48113016615,80,79,Demand > Supply
Right At School at Plummer Elementary,0013r00002DdbZ4,TRUE,50,School,TRUE,Fee,For Profit,1203 S. Clark Road Cedar Hill,Cedar Hill,75104,"","",48113016524,80,73,Demand = Supply
Right At School at Lake Ridge Elementary,0013r00002DdbZ5,TRUE,50,School,TRUE,Fee,For Profit,1020 Lake Ridge Parkway Cedar Hill,Cedar Hill,75104,"","",48113016525,76,76,Demand = Supply
"Tesia's Tiny Tots Day Care Center, Inc",001i000001YBHHQ,TRUE,37,Child Care Center,TRUE,Sliding Scale,For Profit,524 N HIGHWAY 67,CEDAR HILL,75104,"",(972) 293-1477,48113016629,90,62,Demand < Supply
Destiny Learning Center,0013r00002QSWPL,TRUE,31,Child Care Center,TRUE,Fee,For Profit,917 STRAUS RD,CEDAR HILL,75104,"",682-241-8159,48113016522,82,70,Demand = Supply
Creme de la Creme - MacArthur Blvd,0010Z00002ACVQ7,TRUE,491,Child Care Center,TRUE,Sliding Scale,For Profit,811 N MACARTHUR BLVD,COPPELL,75019,"",469-702-1538,,,,
Creme De La Creme - Denton Tap Rd,001i000001YBHFO,TRUE,340,Child Care Center,TRUE,Sliding Scale,For Profit,300 S DENTON TAP RD,COPPELL,75019,"",(972) 462-9064,48113014119,90,63,Demand < Supply
Childrens Courtyard at Town Center,001i000001YBHEa,TRUE,302,Child Care Center,TRUE,Sliding Scale,For Profit,129 TOWN CENTER BLVD,COPPELL,75019,"",(972) 745-8055,48113020000,89,56,Demand < Supply
Discover & Share,001i000001YBHEu,TRUE,265,Child Care Center,TRUE,Sliding Scale,"",1445 RIVERCHASE DR,COPPELL,75019,"",(972) 304-1818,48113014121,93,67,Demand < Supply
Universal Satori Learning Centers Inc,001i000001YBHI9,TRUE,250,Child Care Center,TRUE,Sliding Scale,For Profit,1001 E SANDY LAKE RD,COPPELL,75019,"",(972) 393-3200,48113014121,93,67,Demand < Supply
Riverchase Montessori Academy,001i000001YBHEB,TRUE,200,School,TRUE,Sliding Scale,For Profit,1555 E SANDY LAKE RD,COPPELL,75019,"",(972) 745-1500,48113014121,93,67,Demand < Supply
Coppell Early Care and Education,001i000001YBHI7,TRUE,195,Child Care Center,TRUE,Sliding Scale,For Profit,103 SAMUEL BLVD,COPPELL,75019,"",(972) 304-2000,48113014135,84,84,Demand > Supply
Primrose School of Coppell,0010Z000025h6dN,TRUE,191,Child Care Center,TRUE,Sliding Scale,For Profit,275 E PARKWAY BLVD,COPPELL,75019,"",972-304-8888,48113014135,84,84,Demand > Supply
The Pierce Academy,001i000001YBHKo,TRUE,119,Child Care Center,TRUE,Sliding Scale,For Profit,150 N MOORE RD,COPPELL,75019,"",(972) 304-0360,48113014135,84,84,Demand > Supply
YMCA at Lakeside Elementary,001i000001YBHGi,TRUE,110,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,1100 VILLAGE PKWY,COPPELL,75019,https://www.ymcadallas.org/locations/,(214) 534-2826,48113014123,80,63,Demand < Supply
The Learning Station,0013r00002Hp49r,TRUE,107,Child Care Center,TRUE,Fee,For Profit,130 S MOORE RD,COPPELL,75019,"",972-304-5693,48113014120,86,13,Demand < Supply
Cottonwood Creek Elementary,0010Z00001SAq5h,TRUE,100,School,TRUE,Sliding Scale,School Run,615 Minyard Drive,Coppell,75019,"","",48113020000,89,56,Demand < Supply
Denton Creek Elementary at YMCA,0013100001mAynS,TRUE,80,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,250 Natches Trace,Coppell,75019,https://www.ymcadallas.org/locations/,(214) 208-0847,48113020000,89,56,Demand < Supply
YMCA at Wilson Elementary School,0013100001mBP76,TRUE,80,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,200 South Coppell Rd.,Coppell,75019,https://www.ymcadallas.org/locations/,(214) 496-7500,48113014126,83,70,Demand = Supply
Kiddin Around Coppell,0013r00002VPqo5,TRUE,68,Child Care Center,TRUE,Fee,For Profit,144 W PARKWAY BLVD,COPPELL,75019,"",972-462-1300,48113020000,89,56,Demand < Supply
YMCA at Mockingbird Elementary - Coppell,0013100001mAzEY,TRUE,60,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,300 Mockingbird Ln.,Coppell,75019,https://www.ymcadallas.org/locations/,(214) 208-2964,48113014120,86,13,Demand < Supply
YMCA at Pinkerton Elementary,001i000001YBHGj,TRUE,55,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,260 SOUTHWESTERN BLVD,COPPELL,75019,"",(972) 804-4587,48113014126,83,70,Demand = Supply
YMCA at Town Center Elementary,0013100001mBPRL,TRUE,50,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,185 N. Heartz Rd.,Coppell,75019,https://www.ymcadallas.org/locations/,(214) 496-7800,48113014135,84,84,Demand > Supply
Coppell Family YMCA,0013100001mBPZ8,TRUE,50,Community Center/Nonprofit,TRUE,Fee,National Nonprofit,146 Town Center Blvd.,Coppell,75229,https://www.ymcadallas.org/locations/town_north/,(972) 393-5121,48113014135,84,84,Demand > Supply
Mary Rush Children's College At IBOC,001i000001YBHEe,TRUE,999,Child Care Center,TRUE,Sliding Scale,For Profit,7710 S WESTMORELAND RD,DALLAS,75237,"",(972) 572-4262,48113016607,84,82,Demand > Supply
Golden Eagles Program at Westmorland Rd.,0013100001oiaMm,TRUE,580,Child Care Center,TRUE,Sliding Scale,For Profit,6901 S WESTMORELAND RD,Dallas,75237,"",(972) 709-4700,48113010903,94,65,Demand < Supply
Golden Eagles Program at Red Bird Center,0013100001oiaKv,TRUE,360,Child Care Center,TRUE,Sliding Scale,For Profit,5701 RED BIRD CENTER DR,Dallas,75237,"",(972) 709-4700,48113010904,90,65,Demand < Supply
White Rock North School Inc,001i000001YBHKx,TRUE,325,School,TRUE,Sliding Scale,School Run,9711-9727 White Rock Trail,Dallas,75238,http://whiterocknorthschool.com/summer%20camp.html,(214) 348-7410,48113013008,97,66,Demand < Supply
Temple Emanu El Preschool,001i000001YBHHo,TRUE,324,Faith Community,TRUE,Sliding Scale,Local Nonprofit,8500 HILLCREST AVE,DALLAS,75225,"",(214) 706-0020,48113007801,84,68,Demand = Supply
Handprints Academy,001i000001YBHSy,TRUE,322,Child Care Center,TRUE,Sliding Scale,For Profit,702 S HAMPTON RD,DALLAS,75208,"",(214) 941-4844,48113005200,83,83,Demand > Supply
Dallas Children's Theater,001i000001SPRcp,TRUE,300,Community Center/Nonprofit,TRUE,Fee,Local Nonprofit,5938 Skillman street,Dallas,75231,www.dct.org,214-978-0110,48113007809,93,64,Demand < Supply
Jubilee Park and Community Centers at Main Campus,001i000000Uf14D,TRUE,300,Community Center/Nonprofit,TRUE,No Charge,Local Nonprofit,917 Bank Street,Dallas,75223,http://www.jubileecenter.org,(972) 741-7852,48113002500,95,66,Demand < Supply
Akiba Academy Of Dallas,001i000001YBHFo,TRUE,291,School,TRUE,Sliding Scale,School Run,12324 MERIT DR,DALLAS,75251,"",(214) 295-3400,48113013202,87,66,Demand < Supply
Fellowship Christian Academy Preschool,0013100001mAWOE,TRUE,271,Child Care Center,TRUE,Sliding Scale,For Profit,1821 W. Camp Wisdom Rd.,Dallas,75232,"",(214) 672-9200,48113011101,93,68,Demand < Supply
Primrose of Prestonwood,001i000001YBHEt,TRUE,250,Child Care Center,TRUE,Sliding Scale,For Profit,15237 MONTFORT RD,DALLAS,75248,"",(469) 791-9131,48113013620,84,73,Demand = Supply
Ideal Day Care and Learning Center,001i000001YBHJS,TRUE,238,Child Care Center,TRUE,Sliding Scale,For Profit,1000 E RED BIRD LN,DALLAS,75241,"",(214) 371-9228,48113011202,98,61,Demand < Supply
Rosewood Academy Dallas,0013r00002QWCXR,TRUE,227,Child Care Center,TRUE,Fee,For Profit,2310 STUTZ DR,DALLAS,75235,"",214-350-7673,48113000409,83,72,Demand = Supply
Red Bird Learning Center,001i000001YBHHL,TRUE,201,Child Care Center,TRUE,Sliding Scale,For Profit,7575 S HAMPTON RD,DALLAS,75232,"",(972) 283-1000,48113010906,94,63,Demand < Supply
Glenbrook CDC,001i000001YBHFB,TRUE,200,Child Care Center,TRUE,Sliding Scale,For Profit,1339 N MASTERS DR,DALLAS,75217,"",(972) 288-0769,48113011901,89,68,Demand < Supply
Glen Oaks School,001i000001YBHFC,TRUE,200,School,TRUE,Sliding Scale,For Profit,12105 PLANO RD,DALLAS,75243,"",(972) 231-3135,48113019019,76,90,Demand > Supply
ST James Episcopal Montessori School,001i000001YBHKf,TRUE,197,School,TRUE,Sliding Scale,School Run,9845 MCCREE RD,DALLAS,75238,"",(214) 348-1349,48113013012,92,55,Demand < Supply
Handprints Child Care,001i000001YBHEK,TRUE,179,Child Care Center,TRUE,Sliding Scale,For Profit,2805 PEAVY RD,DALLAS,75228,"",(214) 327-3236,48113012301,80,83,Demand > Supply
Jewish Community Center of Dallas,001i000001YBHI4,TRUE,175,Community Center/Nonprofit,TRUE,Sliding Scale,Local Nonprofit,7900 Northaven Rd,Dallas,75230,http://www.jccdallas.org/,(214) 739-0225,48113013101,88,48,Demand < Supply
Bright Minds Learning Center LLC,0010Z0000273xxk,TRUE,170,Child Care Center,TRUE,Sliding Scale,For Profit,2726 W ILLINOIS AVE,DALLAS,75233,"",214-330-0413,48113010804,84,81,Demand = Supply
Riding Rainbows Child Development Center,0010Z0000273xxp,TRUE,170,Child Care Center,TRUE,Sliding Scale,For Profit,7605 C F HAWN FWY,DALLAS,75217,"",214-391-2259,48113009304,75,89,Demand > Supply
Voice of Hope Redeeming STEM Afterschool (Main Campus),001i000000Uf0f4,TRUE,170,Community Center/Nonprofit,TRUE,Sliding Scale,Local Nonprofit,4120 Gentry Dr,Dallas,75212,http://voiceofhope.org/,214334-1937,48113010500,88,63,Demand < Supply
"Little Creations Learning Center, LLC",0013r00002YQmj2,TRUE,170,Child Care Center,TRUE,Fee,For Profit,817 HOLCOMB RD,DALLAS,75217,"",214-632-7253,48113009202,84,80,Demand > Supply
Heavenly Christian Academy,001i000001YBHFK,TRUE,169,Child Care Center,TRUE,Sliding Scale,For Profit,11421 SHILOH RD,DALLAS,75228,"",(972) 681-7545,48113012701,87,64,Demand < Supply
Abugida Academy,0013100001mAWhW,TRUE,168,School,TRUE,Sliding Scale,For Profit,11501 Plano Rd.,Dallas,75243,"",(214) 553-5530,48113018506,80,71,Demand = Supply
East Ridge Academy,0010Z000024Fpcf,TRUE,165,Child Care Center,TRUE,Sliding Scale,For Profit,6310 EASTRIDGE DR,DALLAS,75231,"",214-368-7903,48113007809,93,64,Demand < Supply
Fair Oaks Day School,001i000001YBHF2,TRUE,164,School,TRUE,Sliding Scale,School Run,7825 FAIR OAKS AVE,DALLAS,75231,"",(214) 340-1121,48113007812,90,68,Demand < Supply
Kids Concepts Child Development,001i000001YBHFj,TRUE,163,Child Care Center,TRUE,Sliding Scale,For Profit,4019 W LEDBETTER DR,DALLAS,75233,"",(214) 331-8808,48113010807,93,62,Demand < Supply
Sherandas Playhouse II,001i000001YBHHg,TRUE,162,Child Care Center,TRUE,Sliding Scale,For Profit,2124 N PRAIRIE CREEK RD,DALLAS,75227,"",(214) 388-9399,48113009002,87,12,Demand < Supply
YMCA @ Rogers Dallas,0013r00002bSMsL,TRUE,160,"",TRUE,"","",5314 ABRAMS RD,DALLAS,75214,"",469-348-9622,48113007902,89,66,Demand < Supply
Springcreek Private School,001i000001YBHKd,TRUE,160,Child Care Center,TRUE,Sliding Scale,For Profit,14855 SPRING CREEK RD,DALLAS,75248,"",(972) 239-0096,48113013607,92,37,Demand < Supply
Kiddie Korner Private School,001i000001YBHGQ,TRUE,157,Child Care Center,TRUE,Sliding Scale,For Profit,328 W 12TH ST,DALLAS,75208,"",(214) 946-3151,48113005000,89,76,Demand < Supply
KinderCare Learning Centers at Forest Ln.,001i000001YBHGR,TRUE,155,Child Care Center,TRUE,Sliding Scale,For Profit,9131 FOREST LN,DALLAS,75243,"",(972) 234-3174,48113007810,95,65,Demand < Supply
The Westwood School Corp.,001i000001YBHEO,TRUE,155,School,TRUE,Sliding Scale,School Run,14340 PROTON RD,DALLAS,75244,WESTWOODSCHOOL.ORG/SUMMER,(972) 239-8598,48113013806,85,71,Demand < Supply
Lake Highlands Presbyterian CDC,001i000001YBHDx,TRUE,154,Faith Community,TRUE,Sliding Scale,Local Nonprofit,8525 AUDELIA RD,DALLAS,75238,"",(214) 343-7103,48113013013,84,11,Demand < Supply
American Care Academy Pleasant Grove,0013r00002Hnz9y,TRUE,153,Child Care Center,TRUE,Fee,For Profit,1227 N MASTERS DR,DALLAS,75217,"",972-325-7983,48113011802,83,73,Demand = Supply
Nueva Vida Day Care Center,001i000001YBHKC,TRUE,151,Child Care Center,TRUE,Sliding Scale,For Profit,2602 W ILLINOIS AVE,DALLAS,75233,"",(214) 333-9171,48113010804,84,81,Demand = Supply
Boys and Girls Club of East Dallas,0013100001bejbx,TRUE,150,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,4804 Worth St.,Dallas,75246,www.bgca.org,(214) 828-2200,48113001502,77,87,Demand > Supply
Boys and Girls Club of Oak Cliff,0013100001bejap,TRUE,150,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,2907 Linfield Rd.,Dallas,75216,www.bgca.org,(214) 372-4661,48113008701,88,63,Demand < Supply
Youth Believing in Change After School and Tutoring Program,001i000001I5DW5,TRUE,150,Faith Community,TRUE,No Charge,Local Nonprofit,8574 Stults Road,Dallas,75243,"","",48113007805,92,66,Demand < Supply
NMZ Day Care Center Inc.,0013100001k3PJ5,TRUE,150,Child Care Center,TRUE,Sliding Scale,For Profit,8835 Stults Rd.,Dallas,75243,"",(214) 348-9090,48113007805,92,66,Demand < Supply
Youth World,0013100001bSyFw,TRUE,150,Child Care Center,TRUE,No Charge,Local Nonprofit,1121 W. Wheatland Rd.,Dallas,75232,www.youthworld.org,(214)948-0606,48113011101,93,68,Demand < Supply
KinderCare Learning Centers LLC,0013r00002Hnz9z,TRUE,150,Child Care Center,TRUE,Fee,For Profit,15610 SPRING CREEK RD,DALLAS,75248,"",972-404-9020,48113013607,92,37,Demand < Supply
The Modern Tot,0010Z000024Cxw6,TRUE,148,Child Care Center,TRUE,Sliding Scale,For Profit,10801 GARLAND RD,DALLAS,75218,"",214-901-1623,48113012802,90,60,Demand < Supply
Neighborhood Christian Learning Center of Dallas INC,001i000001YBHGe,TRUE,146,Child Care Center,TRUE,Sliding Scale,For Profit,1111 E LEDBETTER DR,DALLAS,75216,"",(214) 372-4411,48113005901,99,62,Demand < Supply
Lake Highlands Christian Child,001i000001YBHI0,TRUE,145,Child Care Center,TRUE,Sliding Scale,For Profit,9919 MCCREE RD,DALLAS,75238,"",(214) 348-1123,48113013012,92,55,Demand < Supply
Richland Academy Learning Center Inc,001i000001YBHHJ,TRUE,144,Child Care Center,TRUE,Sliding Scale,For Profit,9850 WALNUT ST,DALLAS,75243,"",(972) 644-1340,48113019019,76,90,Demand > Supply
A Missionary C.O.G.I.C.U.I. Learning Center,0013r00002bSMsF,TRUE,143,"",TRUE,"","",7460 S WESTMORELAND RD STE 105,DALLAS,75237,"",214-758-0370,48113016607,84,82,Demand > Supply
Little Rascals Academy & Day Care,001i000001YBHEq,TRUE,141,Child Care Center,TRUE,Sliding Scale,For Profit,5554 S HAMPTON RD,DALLAS,75232,"",(214) 331-7500,48113011004,91,60,Demand < Supply
Betty Lin Early Childhood Learning Ctr,001i000001YBHE4,TRUE,140,Child Care Center,TRUE,Sliding Scale,For Profit,1123 E LEDBETTER DR,DALLAS,75216,"",(214) 375-2322,48113005901,99,62,Demand < Supply
Bryans House,0013100001ciNNs,TRUE,136,Community Center/Nonprofit,TRUE,Sliding Scale,Local Nonprofit,3610 Pipestone Rd.,Dallas,75212,www.bryanshouse.org,(214) 559-3946,48113010500,88,63,Demand < Supply
Ratcliff Early Learning Academy,0010Z00001w9aib,TRUE,136,Child Care Center,TRUE,Sliding Scale,For Profit,417 W OHIO AVE,DALLAS,75224,"",214-941-6577,48113006200,89,70,Demand < Supply
Angel's on Earth Learning & Adventure Center,0013r00002YNs2F,TRUE,136,Child Care Center,TRUE,Fee,For Profit,6810 SAMUELL BLVD,DALLAS,75228,"",214-324-3555,48113012207,93,59,Demand < Supply
Braswell Child Care Development Center at Main Campus,0013100001lJIRd,TRUE,135,Child Care Center,TRUE,Sliding Scale,For Profit,2203 South 2nd  Avenue,Dallas,75210,http://www.braswellkids.com/,(214) 565-0300,48113002703,92,70,Demand < Supply
Precious Kargo Academy,0010Z00001uFAHB,TRUE,133,Child Care Center,TRUE,Sliding Scale,For Profit,802 S BECKLEY AVE,Dallas,75203,"",214-948-4951,48113004800,96,60,Demand < Supply
Lake Highlands Baptist Church,0010Z00001a0Bt6,TRUE,130,Faith Community,TRUE,Sliding Scale,Local Nonprofit,642 BROOKHURST DR,DALLAS,75218,"","",48113012900,90,64,Demand < Supply
After-School All-Stars at E.D. Walker MS,0010Z000024ErAQ,TRUE,125,School,TRUE,No Charge,National Nonprofit,12532 Nuestra Dr,Dallas,75230,"",956.274.2465,48113009604,87,68,Demand < Supply
After-School All-Stars at Thomas C. Marsh MS,0010Z00001uIGPU,TRUE,125,School,TRUE,No Charge,National Nonprofit,3838 Crown Shore Dr.,Dallas,75224,"",214.907.8594,48113009608,87,61,Demand < Supply
After-School All-Stars at Hector P. Garcia MS,0013100001lKenZ,TRUE,125,School,TRUE,No Charge,National Nonprofit,700 E 8th St.,Dallas,75203,http://asasnorthtexas.org/,602.410.8728,48113004800,96,60,Demand < Supply
Jubilee Park at Oran M. Roberts Elementary School,0013100001lqRC3,TRUE,125,School,TRUE,No Charge,Local Nonprofit,4919 E. Grand Ave,Dallas,75223,jubileecenter.org,241-994-8163,48113002500,95,66,Demand < Supply
St. Philips School and Community Center,001i000001YBHDj,TRUE,125,School,TRUE,No Charge,Local Nonprofit,1600 PENNSYLVANIA AVE,DALLAS,75215,www.stphilips1600.org,(214) 421-5221,48113020900,85,72,Demand < Supply
Kids Country Childcare and Learning Center,001i000001YBHFy,TRUE,125,Child Care Center,TRUE,Sliding Scale,For Profit,9571 SKILLMAN ST,DALLAS,75243,"",(214) 340-5687,48113018505,75,92,Demand > Supply
Catholic Charities at Cardinal Farrell Community Center,001i000000zj9JO,TRUE,125,Community Center/Nonprofit,TRUE,No Charge,Local Nonprofit,321 Calumet Ave,Dallas,75211,www.catholiccharitiesdallas.charityfinders.org/SantaClaraRegionalCommunityCenter,214-337-0175,48113006701,80,81,Demand > Supply
Bright Horizons at Plaza of Americas,001i000001YBHIg,TRUE,124,Child Care Center,TRUE,Sliding Scale,For Profit,700 N PEARL ST STE N101,DALLAS,75201,"",(214) 999-1021,48113001705,78,73,Demand = Supply
Alcuin School,001i000001YBHGz,TRUE,123,School,TRUE,Sliding Scale,School Run,6144 Churchill Way,Dallas,75230,www.alcuinschool.org/page,(972) 239-1745,48113013201,85,62,Demand < Supply
KCE Champions LLC @ St. Philip,0013r00002bSMsH,TRUE,120,"",TRUE,"","",1600 PENNSYLVANIA AVE,DALLAS,75215,"",940-368-3794,48113020900,85,72,Demand < Supply
Spanish House Elementary School,0013100001nSxiz,TRUE,120,School,TRUE,Sliding Scale,School Run,7159 E Grand Ave,Dallas,75223,http://www.dallasspanishhouse.com/,(214) 826-2323,48113001202,89,69,Demand < Supply
